"Pick Number","Value"
1,29.5
2,28.6
3,27.8
4,27
5,26.2
6,25.4
7,24.7
8,23.9
9,23.2
10,22.5
11,21.8
12,21.2
13,20.5
14,19.9
15,19.3
16,18.7
17,18.2
18,17.7
19,17.1
20,16.6
21,16.2
22,15.7
23,15.3
24,14.9
25,14.5
26,14.1
27,13.7
28,13.3
29,13
30,12.7
31,12.4
32,12.1
33,11.8
34,11.5
35,11.3
36,11
37,10.8
38,10.6
39,10.4
40,10.2
41,10
42,9.8
43,9.6
44,9.4
45,9.3
46,9.1
47,8.9
48,8.8
49,8.7
50,8.5
51,8.4
52,8.2
53,8.1
54,8
55,7.8
56,7.7
57,7.6
58,7.5
59,7.3
60,7.2
61,7.1
62,7
63,6.8
64,6.7
65,6.6
66,6.5
67,6.4
68,6.2
69,6.1
70,6
71,5.9
72,5.7
73,5.6
74,5.5
75,5.4
76,5.2
77,5.1
78,5
79,4.9
80,4.8
81,4.7
82,4.5
83,4.4
84,4.3
85,4.2
86,4.2
87,4.1
88,4
89,3.9
90,3.8
91,3.7
92,3.7
93,3.6
94,3.5
95,3.5
96,3.4
97,3.4
98,3.3
99,3.2
100,3.2
101,3.2
102,3.1
103,3.1
104,3
105,3
106,3
107,2.9
108,2.9
109,2.9
110,2.8
111,2.8
112,2.8
113,2.8
114,2.8
115,2.7
116,2.7
117,2.7
118,2.7
119,2.7
120,2.7
121,2.7
122,2.7
123,2.7
124,2.7
125,2.7
126,2.7
127,2.7
128,2.7
129,2.7
130,2.7
131,2.7
132,2.7
133,2.7
134,2.7
135,2.7
136,2.7
137,2.7
138,2.7
139,2.7
140,2.7
141,2.7
142,2.7
143,2.6
144,2.6
145,2.6
146,2.5
147,2.5
148,2.5
149,2.4
150,2.4
151,2.3
152,2.3
153,2.2
154,2.1
155,2.1
156,2
157,2
158,1.9
159,1.9
160,1.8
161,1.8
162,1.7
163,1.7
164,1.6
165,1.6
166,1.5
167,1.5
168,1.5
169,1.4
170,1.4
171,1.3
172,1.3
173,1.3
174,1.3
175,1.2
176,1.2
177,1.2
178,1.2
179,1.1
180,1.1
181,1.1
182,1.1
183,1.1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0.9
193,0.9
194,0.9
195,0.9
196,0.9
197,0.9
198,0.9
199,0.9
200,0.9
201,0.9
202,0.8
203,0.8
204,0.8
205,0.8
206,0.8
207,0.8
208,0.8
209,0.8
210,0.8
211,0.8
212,0.8
213,0.8
214,0.8
215,0.8
216,0.8
217,0.8
218,0.8
219,0.8
220,0.8
221,0.8
222,0.8
223,0.8
224,0.8
